"PTT","date_time","year","date","time","argos_loc_class","lon","lat","dep_year","dep_date","end_date","track_dur","dep_loc","dep_lat","dep_lon","stage","sex","maturity","init_activity","num_locations","movement"
"53348",2010-02-24 13:19:00,2010,2010-02-24,13:19:00,"B",168.815,-67.295,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-24 13:30:00,2010,2010-02-24,13:30:00,"2",168.797,-67.296,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-24 13:50:00,2010,2010-02-24,13:50:00,"A",168.84,-67.351,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 13:16:00,2010,2010-02-25,13:16:00,"A",169.963,-68.258,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 13:31:00,2010,2010-02-25,13:31:00,"2",169.958,-68.267,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 14:46:00,2010,2010-02-25,14:46:00,"0",170.081,-68.287,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 14:52:00,2010,2010-02-25,14:52:00,"B",170.087,-68.285,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 15:10:00,2010,2010-02-25,15:10:00,"B",170.085,-68.275,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-25 15:31:00,2010,2010-02-25,15:31:00,"B",170.09,-68.241,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 03:02:00,2010,2010-02-26,03:02:00,"B",169.981,-68.277,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 03:50:00,2010,2010-02-26,03:50:00,"A",169.741,-68.299,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 12:13:00,2010,2010-02-26,12:13:00,"A",169.908,-68.325,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 13:13:00,2010,2010-02-26,13:13:00,"A",169.343,-68.515,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 14:41:00,2010,2010-02-26,14:41:00,"B",169.903,-68.354,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-26 14:51:00,2010,2010-02-26,14:51:00,"B",169.89,-68.333,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 03:37:00,2010,2010-02-27,03:37:00,"B",170.294,-68.252,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 12:02:00,2010,2010-02-27,12:02:00,"1",170.038,-68.387,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 12:29:00,2010,2010-02-27,12:29:00,"1",169.956,-68.381,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 12:48:00,2010,2010-02-27,12:48:00,"1",169.907,-68.397,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 13:26:00,2010,2010-02-27,13:26:00,"1",169.816,-68.399,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 13:41:00,2010,2010-02-27,13:41:00,"3",169.809,-68.429,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 14:11:00,2010,2010-02-27,14:11:00,"B",169.706,-68.433,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-27 14:31:00,2010,2010-02-27,14:31:00,"1",169.692,-68.406,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
